fund_id,denominacao_social,classe_anbima_raw,nivel1,nivel2_acoes
11110894000199,G5 LOTUS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11110904000196,BTG PACTUAL MASTER CASH IE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11110914000121,ATS HEDGE FUNDO DE INVESTIMENTO EM AÇÕES,Ações Invest. no Exterior,Ações,Internacional
11110950000195,NOVA LIMA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11111090000104,PORTFÓLIO 173 FIF MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11111103000145,CAPRI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11119029000103,SOCAO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Invest. no Exterior,Ações,Internacional
11121961000170,BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO EM AÇÕES AM3G,Ações Invest. no Exterior,Ações,Internacional
11121992000121,BNP PARIBAS FI FINANCEIRO ZAFIRA RENDA FIXA CRÉDITO PRIVADO PREVIDENCIÁRIO RESP LTDA,Renda Fixa Duração Livre Crédito Livre,Renda Fixa,
11128788000132,SANTANDER PB HVJ MULT CRÉD PRIV - FUNDO DE INVESTIMENTO FINANCEIRO,Multimercados Invest. no Exterior,Multimercado,
11128801000153,SANTANDER PB AV MULTIMERCADO CRÉD PRIV - FUNDO DE INVESTIMENTO FINANCEIRO,Multimercados Invest. no Exterior,Multimercado,
11128825000102,SANTANDER PB CV MULT CRÉD PRIV - FUNDO DE INVESTIMENTO FINANCEIRO,Multimercados Invest. no Exterior,Multimercado,
11128848000117,SANTANDER PB RV MULT CRÉD PRIV - FUNDO DE INVESTIMENTO FINANCEIRO,Multimercados Invest. no Exterior,Multimercado,
11138942000157,MARCELLA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11142140000110,SUPERNOVA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Livre,Ações,Ativo
11145288000109,TB PORTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,Multimercado,
11145302000174,DRACENA FIF DA CLASSE DE INVESTIMENTO EM COTAS EM AÇÕES RESPONSABILIDADE LIMITADA,Ações Livre,Ações,Ativo
11145320000156,ATMOS AÇÕES FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,Ações Livre,Ações,Ativo
11145345000150,TFO KÍNITRO FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,Multimercado,
11145366000175,ATMOS SOL FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES,Ações Livre,Ações,Ativo
11145383000102,BRAIN NOVO BITTENCOURT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11145426000150,SEIVAL-BRLC FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,Multimercado,
11147668000182,BNP PARIBAS ACCESS USA COMPANIES CLASSE DE INVESTIMENTO EM AÇÕES - RESPONSABILIDADE LIMITADA,Ações Invest. no Exterior,Ações,Internacional
11160178000116,MUSTANG GT FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,Multimercados Invest. no Exterior,Multimercado,
11175798000129,INDIE TEOREMA GLOBAL FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,Ações Invest. no Exterior,Ações,Internacional
11175990000115,ARGUCIA ENDOWMENT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,Previdência Multimercado Livre,Multimercado,
11176045000138,BRASIL CAPITAL MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA,Ações Livre,Ações,Ativo
11176339000160,LIBER FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS MULT RESP LIMITADA,Multimercados Livre,Multimercado,
11179939000181,RIO MADEIRA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11180604000183,SANTANDER PB BAP AÇÕES - FUNDO DE INVESTIMENTO FINANCEIRO,Ações Livre,Ações,Ativo
11180605000128,SANTANDER IMA-B RENDA FIXA LONGO PRAZO - FIF RESPONSABILIDADE LIMITADA,Renda Fixa Indexados,Renda Fixa,
11182064000177,CONSTÂNCIA FUNDAMENTO FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO EM AÇÕES - RESPONSAB,Ações Livre,Ações,Ativo
11182072000113,LOGOS TOTAL RETURN FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,Multimercado,
11183842000142,FISHER OAK FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11183854000177,ITAÚ MACRO PREV VÉRTICE FUNDO DE INVESTIMENTO FINANCEIRO MULT - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11184315000152,ITAÚ PRIVATE PREV IMA EX-C FIF DA CLASSE DE INVESTIMENTO EM COTAS RF RESP LIMITADA,Previdência RF Duração Livre Grau de Inv,Ações,Ativo
